Cebola Picada 400g,2.47 €/Kg,Auchan,Auchan,Congelados
Panadinhos Frango 4un 200g,9.95 €/Kg,Auchan,Iglo,Congelados
Alho Picado 150g,7.93 €/Kg,Auchan,Auchan,Congelados
Batatas Pré-fritas Palitos Ao Forno/airfryer 1kg,1.85 €/Kg,Auchan,Auchan,Congelados
Batatas Pré-fritas Palitos Extrafinas Girassol 1kg,1.85 €/Kg,Auchan,Auchan,Congelados
Bacalhau Demolhado Desfiado 500g,11.98 €/Kg,Auchan,Auchan,Congelados
Medalhões Pescada 400g,9.23 €/Kg,Auchan,Auchan,Congelados
Ervilhas 1kg,1.38 €/Kg,Auchan,Polegar,Congelados
Brócolos Em Floretes Ultracongelados 900 G,2.1 €/Kg,Auchan,Auchan,Congelados
Lombos Pescada 400g,9.48 €/Kg,Auchan,Auchan,Congelados
Mistura Legumes 500g,1.9 €/Kg,Auchan,Auchan,Congelados
Espinafres Folhas Porções 1kg,1.55 €/Kg,Auchan,Auchan,Congelados
Puré de Batata 1kg,2.39 €/Kg,Auchan,Auchan,Congelados
Pão de Queijo Sem Gluten 300g,9.63 €/Kg,Auchan,De marchi,Congelados
Carne Picada Dop À Mesa Em Portugal 100% Bovino Alentejano 500g,11.78 €/Kg,Auchan,Auchan,Congelados
Espinafres Folhas Porções 400g,1.72 €/Kg,Auchan,Auchan,Congelados
Batatas Pré-fritas Noisettes 1kg,2.89 €/Kg,Auchan,Auchan,Congelados
Douradinhos Peixe Pré-fritos 450g(15x30 G),6.64 €/Kg,Auchan,Polegar,Congelados
Mistura Couve Flor Bróculos e Romanesco 600g,2.82 €/Kg,Auchan,Auchan,Congelados
Batatas Pré Fritas Classic Óleo Girassol 1kg,1.85 €/Kg,Auchan,Auchan,Congelados
Mini Pizzas Fiambre e Queijo 9un 270g,9.7 €/Kg,Auchan,Auchan,Congelados
Nuggets de Peito Frango 1kg,5.99 €/Kg,Auchan,Auchan,Congelados
Croquetes P/forno 10un 320g,8.72 €/Kg,Auchan,Auchan,Congelados
Paloco Pacífico Desfiado 500g,7.78 €/Kg,Auchan,Polegar,Congelados
Nuggets Frango 50un 1042g,12.47 €/Kg,Auchan,Iglo,Congelados
Crocantes Frango Cordon Bleu 200g,19.95 €/Kg,Auchan,Iglo,Congelados
Hamburgueres 100% Bovino 10un 1kg,8.99 €/Kg,Auchan,Auchan,Congelados
Tranches Salmão Selvagem Msc 440g,29.52 €/Kg,Auchan,Iglo,Congelados
Salada Russa 400g,3.23 €/Kg,Auchan,Auchan,Congelados
Crocantes Frango Com Parmesão 200g,18.7 €/Kg,Auchan,Iglo,Congelados
Batata Pré Fritas Classic Óleo Girassol 2.5kg,1.78 €/Kg,Auchan,Auchan,Congelados
Cenoura Baby 400g,1.88 €/Kg,Auchan,Auchan,Congelados
Feijão Verde Redondo Cortado 400g,1.85 €/Kg,Auchan,Auchan,Congelados
Douradinhos Vegetais 10un 284g,5.95 €/Kg,Auchan,Iglo green cuisine,Congelados
Batatas Pré-fritas Cubos Óleo Girassol 1kg,1.99 €/Kg,Auchan,Auchan,Congelados
Salmão Porções 500g,27.98 €/Kg,Auchan,Royal greenland,Congelados
Frango Moelas Congeladas 1 Kg,2.19 €/Kg,Auchan,,Congelados
Tentáculos de Pota Congelado 800g,6.74 €/Kg,Auchan,Polegar,Congelados
Esparregado 700g,3.56 €/Kg,Auchan,Auchan,Congelados
Favas 700g,4.27 €/Kg,Auchan,Iglo,Congelados
Baguete Alho 350g,4.54 €/Kg,Auchan,Auchan,Congelados
Couves de Bruxelas 1kg,1.69 €/Kg,Auchan,Auchan,Congelados
Ervilhas 700g,4.84 €/Kg,Auchan,Iglo,Congelados
Bróculos Em Floretes Cozidos 675g,2.59 €/Kg,Auchan,Auchan,Congelados
Rabos Pescada Ultracongelados 500g,4.58 €/Kg,Auchan,Polegar,Congelados
Pizza Extra Fina Royale 365g,6 €/Kg,Auchan,Auchan,Congelados
Pães de S.lourenço 6x50g,3.83 €/Kg,Auchan,Panidor,Congelados
Medalhões Salmão 400g,42.2 €/Kg,Auchan,Pescanova,Congelados
Batata Pré-fritas Quartos C Pele Fritar/airfryer 1kg,2.55 €/Kg,Auchan,Auchan,Congelados
Miolo de Camarão 100/200 250g,13.96 €/Kg,Auchan,Polegar,Congelados
Miolo de Camarão Grande 40-60 200g,29.75 €/Kg,Auchan,Pescanova,Congelados
Tomate Cubos 400g,2.18 €/Kg,Auchan,Auchan,Congelados
Pizza Extra Fina Divina 4 Formaggi 340g,6.44 €/Kg,Auchan,Auchan,Congelados
Pastéis Bacalhau P/forno 10un 320g,11.84 €/Kg,Auchan,Auchan,Congelados
Juliana de Legumes Ultracongelada 1kg,1.99 €/Kg,Auchan,Auchan,Congelados
Morangos Vermelho 300 G,4.67 €/Kg,Auchan,Agroaguiar,Congelados
Batatas Pré Fritas 1kg,1.81 €/Kg,Auchan,Polegar,Congelados
Delicias Do Mar Delicias Do Mar Sem Gluten 250g,8.6 €/Kg,Auchan,Pescanova,Congelados
Douradinhos de Escamudo-do-alasca Msc 450g,8.78 €/Kg,Auchan,Auchan,Congelados
Lula Limpa Inteira Ultracongelada 750g,9.32 €/Kg,Auchan,Auchan,Congelados
Pinças de Caranguejo Panadas 250g,7.16 €/Kg,Auchan,Auchan,Congelados
Feijão Verde Extra Fino 1kg,1.69 €/Kg,Auchan,Auchan,Congelados
Almôndegas 60% Bovino Com Molho 420g,8.79 €/Kg,Auchan,Auchan,Congelados
Filete de Pescada Congelado 1kg,8.99 €/Kg,Auchan,,Congelados
Bacalhau Demolhado Lombos 800g,17.44 €/Kg,Auchan,Auchan,Congelados
Nuggets Frango 18un 375g,26.64 €/Kg,Auchan,Iglo,Congelados
Abóbora Cubos 500g,2.78 €/Kg,Auchan,Auchan,Congelados
Ervilhas Primavera 500g,7.98 €/Kg,Auchan,Iglo,Congelados
Couve-flor 600g,3.32 €/Kg,Auchan,Auchan bio,Congelados
Batata Doce Cubos 400g,2.97 €/Kg,Auchan,Auchan,Congelados
Tranches Pescada Do Cabo 500g,9.98 €/Kg,Auchan,Pescanova,Congelados
Nuggets Iglo Capitão Frango Estra Americano 220g,13.59 €/Kg,Auchan,Capitao iglo,Congelados
Abóbora Butternut Em Pedaços 600 G,2.48 €/Kg,Auchan,Auchan,Congelados
Esparregado 350g,3.97 €/Kg,Auchan,Auchan,Congelados
Crepes Simples 1kg,4.39 €/Kg,Auchan,Auchan,Congelados
Lasanha Bolonhesa 300g,8.47 €/Kg,Auchan,Iglo,Congelados
Pizza Cozedura Pedra Chorizo 390g,7.05 €/Kg,Auchan,Auchan,Congelados
Filetes Dourada 200g 2un,29.95 €/Kg,Auchan,Iglo,Congelados
Alho Francês Rodelas 1kg,1.49 €/Kg,Auchan,Auchan,Congelados
Rissois Carne P/forno 8un 360g,8.31 €/Kg,Auchan,Auchan,Congelados
Panquecas Congeladas 240g,13.29 €/Kg,Auchan,Auchan,Congelados
Feijão Verde Plano Cortado 1kg,1.7 €/Kg,Auchan,Auchan,Congelados
Mimos de Pescada Do Cabo 360g,15.89 €/Kg,Auchan,Pescanova,Congelados
Perninhas de Frango Congelado Embalagem Familiar 1kg,3.99 €/un,Auchan,,Congelados
Barrinhas Pescada Panada S/gluten 1.2kg,7.49 €/Kg,Auchan,Pescanova,Congelados
Canelones Bolonhesa 400g,0.01 €/Kg,Auchan,Iglo,Congelados
